id,label,solution
11,Orange___Haunglongbing_(Citrus_greening),"1. Only purchase plants from reputable nurseries and garden centers.
2. Do NOT move plants, fruit or plant parts out of your area, especially across state or international borders.
3. Consume fruit on your property.
4. Dry or double bag plant clippings prior to disposal.
5. When grafting trees, only use registered budwood that comes with source documentation.
6. Cooperate with officials who need to inspect or treat citrus trees in your yard or neighborhood.
7. In quarantined areas, protect your citrus trees against ACP with properly labeled foliar sprays and/or a systemic insecticide soil-drench applied prior to the flush of new growth in late summer or early fall, or in spring after bloom. Carefully follow label instructions.
8. Best of all there’s no spraying! Simply apply it around the base of your tree for systemic protection from the roots to the tip of every leaf."
12,Peach___Bacterial_spot,"1. Keep your peach trees healthy by properly pruning out any diseased or dead limbs and fertilize and water as necessary. Too much nitrogen can aggravate the disease.
2. While there are no completely successful sprays for control of this disease, chemical spray with copper based bactericide and the antibiotic oxytetracycline have some effect used preventatively.
3. Talk to your local extension office or nursery for information. Chemical control is doubtful, however, so the best long term control is to plant resistant cultivars."
13,"Pepper,_bell___Bacterial_spot","1. Peppers will benefit from applications of fertilizer to keep them supplied with essential nutrients. A timed release fertilizer can be applied at bloom or the plants can be fed with a liquid fertilizer at planting and every two weeks thereafter.
2. In addition, pepper plants can produce a heavy load of fruit and it can be helpful to provide the plants with some support using stakes or cages to prevent branches from breaking under the weight. Use a soft material to tie plants to stakes or cages."
14,Potato___Early_blight,"1. Avoid overhead irrigation and allow for sufficient aeration between plants to allow the foliage to dry as quickly as possible.
2. Practice a 2-year crop rotation. That is, do not replant potatoes or other crops in this family for 2 years after a potato crop has been harvested.
3. Keep the potato plants healthy and stress free by providing adequate nutrition and sufficient irrigation, especially later in the growing season after flowering when plants are most susceptible to the disease."
15,Potato___Late_blight,"1. Plant resistant cultivars when available. Remove volunteers from the garden prior to planting and space plants far enough apart to allow for plenty of air circulation.
2. Water in the early morning hours, or use soaker hoses, to give plants time to dry out during the day — avoid overhead irrigation. Destroy all tomato and potato debris after harvest (see Fall Garden Cleanup)."
16,Squash___Powdery_mildew,"1. Use this recipe to make your own solution—mix one tablespoon of baking soda with a teaspoon of dormant oil and one teaspoon of insecticidal or liquid soap (not detergent) to a gallon of water.
2. Spray on plants every one to two weeks."
17,Strawberry___Leaf_scorch,"1. Treat leaf scorch by letting your plants dry out. The best way to treat this disease is to alter watering practices and allow for dryer conditions.
2. If that isn’t possible, you can treat your strawberries with organic fungicides like Captan 50 WP and Copper compounds."
18,Tomato___Bacterial_spot,"1. A plant with bacterial spot cannot be cured.  Remove symptomatic plants from the field or greenhouse to prevent the spread of bacteria to healthy plants.
2. Burn, bury or hot compost the affected plants and DO NOT eat symptomatic fruit.  Although bacterial spot pathogens are not human pathogens, the fruit blemishes that they cause can provide entry points for human pathogens that could cause illness."
19,Tomato___Early_blight,"1. Keep Your Plants Dry. The Alternaria spores require a lot of moisture to germinate.
2. Tomato plants are used to growing in dry climates, so they are unusually sensitive to water on their leaves, which makes them more prone to fungal infections than many other crops."
20,Tomato___Late_blight,"1. Practice safe control methods to prevent late blight, such as practicing regular crop rotation, never planting tomatoes in the same location that tomatoes or potatoes were grown in the last two growing seasons.
2. Space all tomato plants out far enough from each other to allow for plenty of air circulation to help plants dry out faster when they get wet."
21,Tomato___Leaf_Mold,"1. Upon noticing the infected areas, the first step is to let the plants air out and dry. If they are being cultivated in a greenhouse, expose them to dry air conditions, because the humidity that the fungus needs to survive and thrive is dried up in the open air.
2. If the tomatoes are being cultivated outdoors, try to keep the leaves dry when watering the plants."
22,Tomato___Septoria_leaf_spot,"1. Removing infected leaves. Remove infected leaves immediately, and be sure to wash your hands and pruners thoroughly before working with uninfected plants.
2. Consider organic fungicide options. Fungicides containing either copper or potassium bicarbonate will help prevent the spreading of the disease. Begin spraying as soon as the first symptoms appear and follow the label directions for continued management.
3. Consider chemical fungicides. While chemical options are not ideal, they may be the only option for controlling advanced infections. One of the least toxic and most effective is chlorothalonil (sold under the names Fungonil and Daconil)."
23,"Tomato___Spider_mites Two-spotted_spider_mite","1. Water tomato plants regularly and don't allow the soil to become bone dry. Water the surrounding area because mites thrive in hot, dry, dusty conditions.
2. Direct a strong stream of water at the affected leaves as soon as you notice evidence of mites on the leaves and then repeat at least twice every week. 
3. Remove webs from tomato leaves with a damp cloth. Eliminating the webs removes the protective cover and prevents mites from laying eggs.
4. Avoid the use of pesticides, which kills lady beetles and other beneficial predators that effectively keep mites under control.
5. Spray tomato plants with horticultural oil, which smothers the mites.
6. Apply insecticidal soap spray as an alternative to horticultural oil.
7. Remove seriously infected tomato plants and start fresh with new, pest-resistant plants. Dispose of infested plants and never place the plants on the compost piles."
24,Tomato___Tomato_mosaic_virus,"1. We're sorry. There are no cures for viral diseases such as mosaic once a plant is infected. Remove and destroy all infected plants."
25,Tomato___Tomato_Yellow_Leaf_Curl_Virus,"1. Symptomatic plants should be carefully covered by a clear or black plastic bag and tied at the stem at soil line.
2. Cut off the plant below the bag and allow bag with plant and whiteflies to desiccate to death on the soil surface for 1-2 days prior to placing the plant in the trash. Do not cut the plant off or pull it out of the garden and toss it on the compost!
3. If symptomatic plants have no obvious whiteflies on the lower leaf surface, these plants can be cut from the garden and BURIED in the compost.
4. Inspect plants for whitefly infestations two times per week. If whiteflies are beginning to appear, spray with azadirachtin (Neem), pyrethrin or insecticidal soap.
5. For more effective control, it is recommended that at least two of the above insecticides be rotated at each spraying. Follow label directions closely for dosage rates, spray intervals and precautions. Spray the undersides of the leaves thoroughly."
26,Apple___healthy,"Your apple is healthy, keep it going!"
27,Blueberry___healthy,"Your blueberry is healthy, keep it going!"
28,Cherry___healthy,"Your cherry is healthy, keep it going!"
29,Corn___healthy,"Your corn is healthy, keep it going!"
30,Grape___healthy,"Your grape is healthy, keep it going!"
31,Peach___healthy,"Your peach is healthy, keep it going!"
32,Potato___healthy,"Your potato is healthy, keep it going!"
33,"Pepper,bell__healthy","Your pepper bell is healthy, keep it going!"
34,Raspberry___healthy,"Your raspberry is healthy, keep it going!"
35,Soybean___healthy,"Your soybean is healthy, keep it going!"
36,Strawberry___healthy,"Your strawberry is healthy, keep it going!"
37,Tomato___healthy,"Your tomato is healthy, keep it going!"
38,Tomato___Target_Spot,"1. Cultural practices for target spot management include improving airflow through the canopy by wider plant spacing and avoiding over-fertilizing with nitrogen, which can cause overly lush canopy formation.
2. Pruning suckers and older leaves in the lower canopy can also increase airflow and reduce leaf wetness. 
3. Avoid planting tomatoes near old plantings. Inspect seedlings for target spot symptoms before transplanting."
